seed	cardinality	bucket	estimate	signed_relative_error	absolute_relative_error
0	100	0	101.240942	0.012409424	0.012409424
0	100	1	100.216046	0.002160456	0.002160456
0	100	2	100.216046	0.002160456	0.002160456
0	100	3	101.240942	0.012409424	0.012409424
0	100	4	100.216046	0.002160456	0.002160456
0	100	5	98.167021	-0.018329790	0.018329790
0	100	6	100.216046	0.002160456	0.002160456
0	100	7	100.216046	0.002160456	0.002160456
0	100	8	99.191405	-0.008085948	0.008085948
0	100	9	100.216046	0.002160456	0.002160456
0	100	10	99.191405	-0.008085948	0.008085948
0	100	11	99.191405	-0.008085948	0.008085948
0	100	12	101.240942	0.012409424	0.012409424
0	100	13	101.240942	0.012409424	0.012409424
0	100	14	100.216046	0.002160456	0.002160456
0	100	15	100.216046	0.002160456	0.002160456
0	100	16	101.240942	0.012409424	0.012409424
0	100	17	98.167021	-0.018329790	0.018329790
0	100	18	100.216046	0.002160456	0.002160456
0	100	19	101.240942	0.012409424	0.012409424
0	100	20	101.240942	0.012409424	0.012409424
0	100	21	100.216046	0.002160456	0.002160456
0	100	22	99.191405	-0.008085948	0.008085948
0	100	23	101.240942	0.012409424	0.012409424
0	500	0	494.707669	-0.010584662	0.010584662
0	500	1	509.402869	0.018805738	0.018805738
0	500	2	482.314316	-0.035371368	0.035371368
0	500	3	495.836199	-0.008327602	0.008327602
0	500	4	506.006986	0.012013973	0.012013973
0	500	5	503.744628	0.007489256	0.007489256
0	500	6	499.223656	-0.001552688	0.001552688
0	500	7	506.006986	0.012013973	0.012013973
0	500	8	486.816652	-0.026366696	0.026366696
0	500	9	487.943010	-0.024113980	0.024113980
0	500	10	503.744628	0.007489256	0.007489256
0	500	11	489.069678	-0.021860645	0.021860645
0	500	12	502.613917	0.005227834	0.005227834
0	500	13	498.094192	-0.003811615	0.003811615
0	500	14	515.068937	0.030137874	0.030137874
0	500	15	499.223656	-0.001552688	0.001552688
0	500	16	495.836199	-0.008327602	0.008327602
0	500	17	499.223656	-0.001552688	0.001552688
0	500	18	502.613917	0.005227834	0.005227834
0	500	19	506.006986	0.012013973	0.012013973
0	500	20	500.353431	0.000706863	0.000706863
0	500	21	498.094192	-0.003811615	0.003811615
0	500	22	506.006986	0.012013973	0.012013973
0	500	23	493.579450	-0.012841101	0.012841101
0	1000	0	1004.743874	0.004743874	0.004743874
0	1000	1	997.083024	-0.002916976	0.002916976
0	1000	2	995.807607	-0.004192393	0.004192393
0	1000	3	997.083024	-0.002916976	0.002916976
0	1000	4	1002.188665	0.002188665	0.002188665
0	1000	5	1011.138879	0.011138879	0.011138879
0	1000	6	997.083024	-0.002916976	0.002916976
0	1000	7	981.804175	-0.018195825	0.018195825
0	1000	8	1000.911658	0.000911658	0.000911658
0	1000	9	994.532588	-0.005467412	0.005467412
0	1000	10	1003.466070	0.003466070	0.003466070
0	1000	11	988.163437	-0.011836563	0.011836563
0	1000	12	998.358838	-0.001641162	0.001641162
0	1000	13	995.807607	-0.004192393	0.004192393
0	1000	14	1009.859079	0.009859079	0.009859079
0	1000	15	1003.466070	0.003466070	0.003466070
0	1000	16	1012.419079	0.012419079	0.012419079
0	1000	17	1013.699680	0.013699680	0.013699680
0	1000	18	1014.980680	0.014980680	0.014980680
0	1000	19	999.635049	-0.000364951	0.000364951
0	1000	20	1002.188665	0.002188665	0.002188665
0	1000	21	994.532588	-0.005467412	0.005467412
0	1000	22	993.257965	-0.006742035	0.006742035
0	1000	23	1008.579679	0.008579679	0.008579679
